

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_source_ss.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_source_ss directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_source_ss', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='source', exp='dvd_electronics', feature_num=5000, gpus='6', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_source_ss.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='man', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_source_ss, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=source, exp=dvd_electronics, experiment=dvd_electronics, gpus=6, hostname=19_06_01_15_51_47, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=0.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=0.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_source_ss.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_15_51_47, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 6
current cuda device = 0
using cuda device = 0

SRC : DVD: train: count=2000, test: count=3586
TGT : ELECTRONICS: train: count=2000, test: count=5681

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : source
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from MAN ...
Encoder : DataParallel(
  (module): Encoder(
    (net): Sequential(
      (f-linear-0): Linear(in_features=5000, out_features=1000, bias=True)
      (f-relu-0): ReLU()
      (f-linear-1): Linear(in_features=1000, out_features=500, bias=True)
      (f-relu-1): ReLU()
      (f-linear-final): Linear(in_features=500, out_features=128, bias=True)
      (f-relu-final): ReLU()
    )
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (net): Sequential(
      (p-dropout-0): Dropout(p=0.5)
      (p-linear-final): Linear(in_features=128, out_features=2, bias=True)
    )
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_source_ss
**++ E:000/300 #B:015, t=000.11m, L=00.5737, ACC : S_TRN= 89.84%, T_TRN= 72.19%, S_TST= 80.09%, T_TST= 74.58%
**   E:001/300 #B:015, t=000.69m, L=00.2209, ACC : S_TRN= 95.73%, T_TRN= 74.43%, S_TST= 81.29%, T_TST= 73.98%
     E:002/300 #B:015, t=000.97m, L=00.1125, ACC : S_TRN= 97.55%, T_TRN= 69.58%, S_TST= 79.95%, T_TST= 70.92%
     E:125/300 #B:015, t=028.96m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 71.98%, S_TST= 82.07%, T_TST= 74.12%
     E:126/300 #B:015, t=029.24m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.19%, S_TST= 82.04%, T_TST= 74.12%
     E:127/300 #B:015, t=029.46m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.40%, S_TST= 82.07%, T_TST= 74.12%
     E:128/300 #B:015, t=029.69m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.76%, S_TST= 82.07%, T_TST= 74.12%
     E:129/300 #B:015, t=029.86m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.50%, S_TST= 82.15%, T_TST= 74.18%
     E:130/300 #B:015, t=030.06m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.55%, S_TST= 82.15%, T_TST= 74.18%
     E:131/300 #B:015, t=030.28m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.95%, S_TST= 82.15%, T_TST= 74.19%
     E:132/300 #B:015, t=030.47m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.33%, S_TST= 82.15%, T_TST= 74.18%
     E:133/300 #B:015, t=030.67m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.01%, S_TST= 82.15%, T_TST= 74.18%
     E:134/300 #B:015, t=030.88m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.53%, S_TST= 82.15%, T_TST= 74.18%
     E:135/300 #B:015, t=031.08m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 75.94%, S_TST= 82.15%, T_TST= 74.18%
     E:136/300 #B:015, t=031.30m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.69%, S_TST= 82.15%, T_TST= 74.18%
     E:137/300 #B:015, t=031.51m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.66%, S_TST= 82.18%, T_TST= 74.14%
     E:138/300 #B:015, t=031.75m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.69%, S_TST= 82.18%, T_TST= 74.14%
     E:139/300 #B:015, t=031.96m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.66%, S_TST= 82.18%, T_TST= 74.12%
     E:140/300 #B:015, t=032.16m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.28%, S_TST= 82.18%, T_TST= 74.14%
     E:141/300 #B:015, t=032.37m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.54%, S_TST= 82.18%, T_TST= 74.12%
     E:142/300 #B:015, t=032.61m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.53%, S_TST= 82.18%, T_TST= 74.12%
     E:143/300 #B:015, t=032.81m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 71.77%, S_TST= 82.18%, T_TST= 74.12%
     E:144/300 #B:015, t=033.00m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.32%, S_TST= 82.21%, T_TST= 74.19%
     E:145/300 #B:015, t=033.23m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.44%, S_TST= 82.18%, T_TST= 74.21%
     E:146/300 #B:015, t=033.43m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.18%, S_TST= 82.18%, T_TST= 74.19%
     E:147/300 #B:015, t=033.63m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 76.09%, S_TST= 82.15%, T_TST= 74.23%
     E:148/300 #B:015, t=033.83m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.50%, S_TST= 82.21%, T_TST= 74.16%
     E:149/300 #B:015, t=034.06m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.58%, S_TST= 82.21%, T_TST= 74.14%
     E:150/300 #B:015, t=034.27m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.54%, S_TST= 82.21%, T_TST= 74.14%
     E:151/300 #B:015, t=034.49m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.32%, S_TST= 82.18%, T_TST= 74.16%
     E:152/300 #B:015, t=034.67m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.27%, S_TST= 82.18%, T_TST= 74.16%
     E:153/300 #B:015, t=034.93m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.33%, S_TST= 82.18%, T_TST= 74.16%
     E:154/300 #B:015, t=035.14m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.92%, S_TST= 82.18%, T_TST= 74.16%
     E:155/300 #B:015, t=035.36m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.38%, S_TST= 82.18%, T_TST= 74.14%
     E:156/300 #B:015, t=035.57m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 71.72%, S_TST= 82.18%, T_TST= 74.14%
     E:157/300 #B:015, t=035.79m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.64%, S_TST= 82.18%, T_TST= 74.14%
     E:158/300 #B:015, t=036.01m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 76.04%, S_TST= 82.21%, T_TST= 74.16%
     E:159/300 #B:015, t=036.22m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.33%, S_TST= 82.18%, T_TST= 74.16%
     E:160/300 #B:015, t=036.46m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.06%, S_TST= 82.21%, T_TST= 74.14%
     E:161/300 #B:015, t=036.69m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 75.16%, S_TST= 82.21%, T_TST= 74.14%
     E:162/300 #B:015, t=036.94m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.07%, S_TST= 82.21%, T_TST= 74.14%
     E:163/300 #B:015, t=037.13m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.27%, S_TST= 82.21%, T_TST= 74.14%
     E:164/300 #B:015, t=037.34m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.50%, S_TST= 82.21%, T_TST= 74.14%
     E:165/300 #B:015, t=037.53m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.79%, S_TST= 82.21%, T_TST= 74.19%
     E:166/300 #B:015, t=037.76m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.64%, S_TST= 82.21%, T_TST= 74.19%
     E:167/300 #B:015, t=038.00m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.65%, S_TST= 82.18%, T_TST= 74.23%
     E:168/300 #B:015, t=038.22m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 71.09%, S_TST= 82.15%, T_TST= 74.25%
     E:169/300 #B:015, t=038.44m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.59%, S_TST= 82.15%, T_TST= 74.25%
     E:170/300 #B:015, t=038.66m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.24%, S_TST= 82.15%, T_TST= 74.25%
     E:171/300 #B:015, t=038.87m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.60%, S_TST= 82.12%, T_TST= 74.25%
     E:172/300 #B:015, t=039.09m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 71.51%, S_TST= 82.15%, T_TST= 74.25%
     E:173/300 #B:015, t=039.32m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.23%, S_TST= 82.15%, T_TST= 74.25%
     E:174/300 #B:015, t=039.56m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.91%, S_TST= 82.21%, T_TST= 74.19%
     E:175/300 #B:015, t=039.77m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.38%, S_TST= 82.21%, T_TST= 74.19%
     E:176/300 #B:015, t=039.98m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.07%, S_TST= 82.21%, T_TST= 74.14%
     E:177/300 #B:015, t=040.22m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.95%, S_TST= 82.18%, T_TST= 74.14%
     E:178/300 #B:015, t=040.46m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.07%, S_TST= 82.18%, T_TST= 74.14%
     E:179/300 #B:015, t=040.69m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.86%, S_TST= 82.18%, T_TST= 74.14%
     E:180/300 #B:015, t=040.89m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.86%, S_TST= 82.18%, T_TST= 74.14%
     E:181/300 #B:015, t=041.11m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.45%, S_TST= 82.18%, T_TST= 74.14%
     E:182/300 #B:015, t=041.34m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.54%, S_TST= 82.18%, T_TST= 74.16%
     E:183/300 #B:015, t=041.57m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.90%, S_TST= 82.21%, T_TST= 74.16%
     E:184/300 #B:015, t=041.79m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.22%, S_TST= 82.21%, T_TST= 74.16%
     E:185/300 #B:015, t=042.02m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.85%, S_TST= 82.18%, T_TST= 74.16%
     E:186/300 #B:015, t=042.23m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.28%, S_TST= 82.18%, T_TST= 74.16%
     E:187/300 #B:015, t=042.44m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.59%, S_TST= 82.18%, T_TST= 74.12%
     E:188/300 #B:015, t=042.67m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.23%, S_TST= 82.10%, T_TST= 74.21%
     E:189/300 #B:015, t=042.88m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 75.57%, S_TST= 82.10%, T_TST= 74.21%
     E:190/300 #B:015, t=043.10m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.75%, S_TST= 82.10%, T_TST= 74.21%
     E:191/300 #B:015, t=043.31m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.58%, S_TST= 82.10%, T_TST= 74.18%
     E:192/300 #B:015, t=043.53m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.01%, S_TST= 82.10%, T_TST= 74.18%
     E:193/300 #B:015, t=043.75m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.65%, S_TST= 82.10%, T_TST= 74.18%
     E:194/300 #B:015, t=043.99m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.85%, S_TST= 82.10%, T_TST= 74.21%
     E:195/300 #B:015, t=044.22m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.22%, S_TST= 82.10%, T_TST= 74.18%
     E:196/300 #B:015, t=044.43m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.75%, S_TST= 82.10%, T_TST= 74.18%
     E:197/300 #B:015, t=044.64m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.44%, S_TST= 82.10%, T_TST= 74.18%
     E:198/300 #B:015, t=044.88m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.32%, S_TST= 82.10%, T_TST= 74.18%
     E:199/300 #B:015, t=045.10m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.06%, S_TST= 82.07%, T_TST= 74.21%
     E:200/300 #B:015, t=045.30m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.75%, S_TST= 82.07%, T_TST= 74.21%
     E:201/300 #B:015, t=045.55m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.66%, S_TST= 82.10%, T_TST= 74.18%
     E:202/300 #B:015, t=045.77m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.27%, S_TST= 82.10%, T_TST= 74.18%
     E:203/300 #B:015, t=045.98m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.69%, S_TST= 82.10%, T_TST= 74.19%
     E:204/300 #B:015, t=046.24m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.49%, S_TST= 82.10%, T_TST= 74.19%
     E:205/300 #B:015, t=046.44m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.79%, S_TST= 81.99%, T_TST= 74.18%
     E:206/300 #B:015, t=046.68m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 75.78%, S_TST= 81.99%, T_TST= 74.18%
     E:207/300 #B:015, t=046.93m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.76%, S_TST= 81.99%, T_TST= 74.18%
     E:208/300 #B:015, t=047.16m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 71.09%, S_TST= 81.99%, T_TST= 74.18%
     E:209/300 #B:015, t=047.38m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.75%, S_TST= 81.99%, T_TST= 74.18%
     E:210/300 #B:015, t=047.58m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.75%, S_TST= 81.99%, T_TST= 74.18%
     E:211/300 #B:015, t=047.79m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.02%, S_TST= 81.99%, T_TST= 74.18%
     E:212/300 #B:015, t=048.01m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.29%, S_TST= 81.99%, T_TST= 74.18%
     E:213/300 #B:015, t=048.20m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.29%, S_TST= 81.99%, T_TST= 74.18%
     E:214/300 #B:015, t=048.44m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.38%, S_TST= 81.99%, T_TST= 74.18%
     E:215/300 #B:015, t=048.66m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.64%, S_TST= 81.99%, T_TST= 74.18%
     E:216/300 #B:015, t=048.90m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.86%, S_TST= 81.99%, T_TST= 74.18%
     E:217/300 #B:015, t=049.13m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.97%, S_TST= 81.99%, T_TST= 74.18%
     E:218/300 #B:015, t=049.36m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.59%, S_TST= 81.99%, T_TST= 74.18%
     E:219/300 #B:015, t=049.59m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.54%, S_TST= 81.99%, T_TST= 74.18%
     E:220/300 #B:015, t=049.81m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.85%, S_TST= 81.99%, T_TST= 74.18%
     E:221/300 #B:015, t=050.01m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.79%, S_TST= 81.99%, T_TST= 74.18%
     E:222/300 #B:015, t=050.22m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 75.99%, S_TST= 81.99%, T_TST= 74.18%
     E:223/300 #B:015, t=050.43m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.12%, S_TST= 81.99%, T_TST= 74.18%
     E:224/300 #B:015, t=050.63m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.27%, S_TST= 81.99%, T_TST= 74.18%
     E:225/300 #B:015, t=050.85m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.45%, S_TST= 81.99%, T_TST= 74.18%
     E:226/300 #B:015, t=051.05m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.54%, S_TST= 81.99%, T_TST= 74.18%
     E:227/300 #B:015, t=051.27m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 71.88%, S_TST= 81.99%, T_TST= 74.18%
     E:228/300 #B:015, t=051.50m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.59%, S_TST= 81.99%, T_TST= 74.18%
     E:229/300 #B:015, t=051.72m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.85%, S_TST= 81.99%, T_TST= 74.18%
     E:230/300 #B:015, t=051.96m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.85%, S_TST= 81.99%, T_TST= 74.18%
     E:231/300 #B:015, t=052.22m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.85%, S_TST= 81.99%, T_TST= 74.18%
     E:232/300 #B:015, t=052.44m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.03%, S_TST= 81.99%, T_TST= 74.18%
     E:233/300 #B:015, t=052.68m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.74%, S_TST= 81.99%, T_TST= 74.18%
     E:234/300 #B:015, t=052.86m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.70%, S_TST= 81.99%, T_TST= 74.18%
     E:235/300 #B:015, t=053.08m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.64%, S_TST= 81.99%, T_TST= 74.18%
     E:236/300 #B:015, t=053.30m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 75.00%, S_TST= 81.99%, T_TST= 74.18%
     E:237/300 #B:015, t=053.54m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.97%, S_TST= 81.99%, T_TST= 74.18%
     E:238/300 #B:015, t=053.77m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.40%, S_TST= 81.99%, T_TST= 74.18%
     E:239/300 #B:015, t=053.99m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.65%, S_TST= 81.99%, T_TST= 74.18%
     E:240/300 #B:015, t=054.22m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.07%, S_TST= 81.99%, T_TST= 74.18%
     E:241/300 #B:015, t=054.44m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 75.21%, S_TST= 81.99%, T_TST= 74.18%
     E:242/300 #B:015, t=054.67m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 76.25%, S_TST= 81.99%, T_TST= 74.18%
     E:243/300 #B:015, t=054.90m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.22%, S_TST= 81.99%, T_TST= 74.18%
     E:244/300 #B:015, t=055.13m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 75.10%, S_TST= 81.99%, T_TST= 74.18%
     E:245/300 #B:015, t=055.35m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 76.25%, S_TST= 81.99%, T_TST= 74.18%
     E:246/300 #B:015, t=055.57m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.91%, S_TST= 81.99%, T_TST= 74.18%
     E:247/300 #B:015, t=055.76m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.59%, S_TST= 81.99%, T_TST= 74.18%
     E:248/300 #B:015, t=056.01m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.43%, S_TST= 81.99%, T_TST= 74.18%
     E:249/300 #B:015, t=056.24m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.86%, S_TST= 81.99%, T_TST= 74.18%
     E:250/300 #B:015, t=056.47m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.23%, S_TST= 81.99%, T_TST= 74.18%
     E:251/300 #B:015, t=056.67m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.43%, S_TST= 81.99%, T_TST= 74.18%
     E:252/300 #B:015, t=056.89m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.18%, S_TST= 81.99%, T_TST= 74.19%
     E:253/300 #B:015, t=057.13m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 75.00%, S_TST= 81.99%, T_TST= 74.19%
     E:254/300 #B:015, t=057.36m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.69%, S_TST= 81.99%, T_TST= 74.18%
     E:255/300 #B:015, t=057.58m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.49%, S_TST= 81.99%, T_TST= 74.18%
     E:256/300 #B:015, t=057.81m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.24%, S_TST= 81.99%, T_TST= 74.18%
     E:257/300 #B:015, t=058.02m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.96%, S_TST= 81.99%, T_TST= 74.18%
     E:258/300 #B:015, t=058.22m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.33%, S_TST= 81.99%, T_TST= 74.18%
     E:259/300 #B:015, t=058.44m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 76.09%, S_TST= 81.99%, T_TST= 74.18%
     E:260/300 #B:015, t=058.65m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.02%, S_TST= 81.99%, T_TST= 74.18%
     E:261/300 #B:015, t=058.87m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.39%, S_TST= 81.99%, T_TST= 74.18%
     E:262/300 #B:015, t=059.08m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.75%, S_TST= 81.99%, T_TST= 74.18%
     E:263/300 #B:015, t=059.29m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.97%, S_TST= 81.99%, T_TST= 74.18%
     E:264/300 #B:015, t=059.51m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.11%, S_TST= 81.99%, T_TST= 74.18%
     E:265/300 #B:015, t=059.70m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.27%, S_TST= 81.99%, T_TST= 74.18%
     E:266/300 #B:015, t=059.96m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.71%, S_TST= 81.99%, T_TST= 74.18%
     E:267/300 #B:015, t=060.17m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.11%, S_TST= 81.99%, T_TST= 74.18%
     E:268/300 #B:015, t=060.37m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.28%, S_TST= 81.99%, T_TST= 74.18%
     E:269/300 #B:015, t=060.58m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.01%, S_TST= 81.99%, T_TST= 74.18%
     E:270/300 #B:015, t=060.83m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.70%, S_TST= 81.99%, T_TST= 74.18%
     E:271/300 #B:015, t=061.05m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.69%, S_TST= 81.99%, T_TST= 74.18%
     E:272/300 #B:015, t=061.26m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 71.72%, S_TST= 81.99%, T_TST= 74.18%
     E:273/300 #B:015, t=061.48m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 75.31%, S_TST= 81.99%, T_TST= 74.18%
     E:274/300 #B:015, t=061.67m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.22%, S_TST= 81.99%, T_TST= 74.18%
     E:275/300 #B:015, t=061.88m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 75.21%, S_TST= 81.99%, T_TST= 74.18%
     E:276/300 #B:015, t=062.09m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 71.61%, S_TST= 81.99%, T_TST= 74.18%
     E:277/300 #B:015, t=062.38m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.75%, S_TST= 81.99%, T_TST= 74.18%
